lim_bal,sex,education,marital,age,pay_april,pay_mei,pay_juni,pay_juli,pay_agustus,pay_september,bill_amt_april,bill_amt_mei,bill_amt_juni,bill_amt_juli,bill_amt_agustus,bill_amt_september,pay_amt_april,pay_amt_mei,pay_amt_juni,pay_amt_juli,pay_amt_agustus,pay_amt_september,default_pay
80000.0,1,6,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,17643.0,26210.0,29296.0,62290.0,61808.0,61454.0,348.0,542.0,2232.0,1336.0,2208.0,2545.0,1
200000.0,1,4,1,49.0,0.0,0.0,0.0,0.0,0.0,0.0,48984.0,50235.0,50146.0,50942.0,49599.0,49221.0,3000.0,2500.0,3480.0,2500.0,2164.0,1689.0,0
20000.0,2,6,2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1434.0,15535.0,19420.0,19568.0,0.0,1500.0,0.0,900.0,1019.0,4641.0,1
260000.0,2,4,2,33.0,0.0,0.0,0.0,0.0,0.0,0.0,29890.0,30767.0,27821.0,27086.0,22815.0,18457.0,5000.0,1085.0,5000.0,1137.0,5000.0,5000.0,0
150000.0,1,4,2,32.0,0.0,0.0,-1.0,0.0,0.0,0.0,146411.0,143375.0,150464.0,161192.0,68686.0,159919.0,5600.0,4709.0,4600.0,157436.0,146896.0,4019.0,0
300000.0,2,4,2,32.0,-1.0,0.0,0.0,0.0,0.0,0.0,700.0,-450.0,65150.0,64747.0,65235.0,54053.0,1400.0,2000.0,0.0,1303.0,1491.0,15235.0,0
130000.0,1,1,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,65099.0,63832.0,62377.0,61156.0,59134.0,58180.0,2291.0,2366.0,2354.0,2129.0,2908.0,2886.0,0
200000.0,1,1,1,58.0,0.0,0.0,0.0,0.0,0.0,0.0,129167.0,126921.0,124647.0,122214.0,195970.0,192461.0,4698.0,4677.0,4597.0,4446.0,4417.0,7822.0,0
500000.0,1,1,1,39.0,0.0,0.0,0.0,0.0,0.0,0.0,204975.0,137406.0,174500.0,171106.0,167378.0,133598.0,7509.0,207440.0,5224.0,4603.0,4607.0,54209.0,0
230000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,110094.0,108101.0,105508.0,165107.0,161797.0,160879.0,2000.0,4164.0,4290.0,3773.0,6607.0,7000.0,0
460000.0,1,1,1,49.0,0.0,0.0,0.0,0.0,0.0,0.0,289449.0,289529.0,291616.0,295807.0,295998.0,293429.0,10000.0,10500.0,10500.0,11500.0,14000.0,13200.0,0
780000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,191090.0,184872.0,195124.0,190663.0,178587.0,171459.0,7003.0,10028.0,8000.0,10000.0,15004.0,10000.0,0
170000.0,1,1,1,34.0,0.0,0.0,0.0,0.0,0.0,0.0,21955.0,29141.0,35377.0,45987.0,52131.0,53145.0,220.0,1000.0,1006.0,1514.0,2000.0,2005.0,0
320000.0,1,1,1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,62805.0,89699.0,124565.0,120285.0,132087.0,162701.0,20000.0,20000.0,22500.0,10000.0,15000.0,20000.0,0
290000.0,1,1,1,46.0,0.0,0.0,0.0,0.0,0.0,0.0,53243.0,88621.0,87700.0,198684.0,199451.0,194301.0,105423.0,3129.0,1629.0,1573.0,6000.0,10744.0,0
500000.0,1,1,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,77968.0,76689.0,78946.0,78031.0,75753.0,74797.0,10000.0,3000.0,2743.0,2818.0,3500.0,2800.0,0
240000.0,1,1,1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,148619.0,148969.0,155064.0,168683.0,183744.0,188964.0,6200.0,5400.0,5250.0,6900.0,6017.0,8000.0,0
340000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,140812.0,201935.0,197797.0,335012.0,329563.0,321046.0,5400.0,5100.0,6300.0,6100.0,12693.0,13690.0,0
360000.0,1,1,1,46.0,0.0,0.0,0.0,0.0,0.0,0.0,14009.0,15077.0,13780.0,14250.0,14828.0,14591.0,2024.0,3008.0,4008.0,4004.0,3024.0,3005.0,1
380000.0,1,1,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,42083.0,82800.0,137442.0,152869.0,130324.0,126880.0,1600.0,1659.0,20000.0,10000.0,25390.0,7000.0,0
180000.0,1,1,1,42.0,0.0,0.0,0.0,0.0,0.0,0.0,81206.0,81316.0,81755.0,82809.0,121847.0,124064.0,2837.0,3206.0,2941.0,3755.0,2891.0,5087.0,0
290000.0,1,1,1,56.0,0.0,0.0,0.0,0.0,0.0,0.0,224780.0,220460.0,232732.0,415700.0,226917.0,222000.0,7624.0,7997.0,10001.0,15018.0,8501.0,10013.0,0
200000.0,1,1,1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,22919.0,75423.0,109447.0,113723.0,119080.0,160292.0,1002.0,1002.0,3002.0,4005.0,4002.0,6036.0,0
240000.0,1,1,1,53.0,0.0,0.0,0.0,0.0,0.0,0.0,123951.0,136639.0,136654.0,133385.0,236437.0,232943.0,5000.0,5000.0,5500.0,5500.0,5000.0,9700.0,0
290000.0,1,1,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,76334.0,82809.0,89712.0,93718.0,95169.0,98441.0,7000.0,3500.0,3241.0,5000.0,4250.0,4000.0,0
300000.0,1,1,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,130325.0,127820.0,126996.0,134080.0,130168.0,127480.0,4123.0,4412.0,4425.0,6069.0,6164.0,4810.0,0
180000.0,1,1,1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,137803.0,135603.0,132806.0,138807.0,172258.0,170128.0,4000.0,4916.0,5141.0,4749.0,5000.0,7187.0,0
100000.0,1,1,1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,40308.0,40966.0,50604.0,49528.0,50851.0,49415.0,1483.0,1469.0,1434.0,2037.0,1961.0,2284.0,0
